Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.0,2.5,2.5,1.5,0.0,0.0,0.0
0.05,2.5001,2.5001,1.4959,-0.2061,0.201,-0.0161
0.1,2.5377,2.5384,1.5519,-0.83,0.6413,-0.2751
0.15,2.6248,2.6271,1.6418,-0.8014,0.6348,-0.2603
0.2,2.7057,2.7095,1.705,-0.4095,0.3976,-0.0705
0.25,2.8069,2.8125,1.7618,-0.0181,0.0466,0.0092
0.3,2.9079,2.9153,1.7964,0.3128,-0.2709,-0.0365
0.35,3.0065,3.0153,1.8145,0.2722,-0.2512,-0.0216
0.4,3.1029,3.113,1.8156,-0.0029,0.0077,0.0299
0.45,3.2003,3.2115,1.8158,-0.0444,0.0761,0.0407
0.5,3.2997,3.3115,1.8218,0.0046,0.0213,0.0461
0.55,3.3996,3.4114,1.8243,-0.0014,0.0017,0.0458
0.6,3.4996,3.5114,1.8267,-0.0008,-0.0004,0.0428
0.65,3.5996,3.6114,1.8292,0.0115,-0.0121,0.0385
0.7,3.6993,3.7111,1.8303,-0.005,0.0064,0.0339
0.75,3.7992,3.811,1.8295,-0.0061,0.0061,0.0294
0.8,3.8992,3.911,1.8305,0.0154,-0.0157,0.0253
0.85,3.9988,4.0106,1.8314,-0.0063,0.0068,0.022
0.9,4.0987,4.1104,1.8322,-0.0076,0.0075,0.0192
0.95,4.1986,4.2104,1.8352,0.0242,-0.0262,0.0167
1.0,4.2981,4.3099,1.8351,-0.0008,0.0001,0.0154
1.05,4.3977,4.4096,1.8341,-0.0148,0.0158,0.0143
1.1,4.4977,4.5096,1.8366,0.0044,-0.0023,0.014
1.15,4.5977,4.6095,1.8396,0.0168,-0.0129,0.0139
1.2,4.6973,4.7089,1.8414,0.0533,-0.0499,0.0131
1.25,4.7958,4.8072,1.841,0.0928,-0.0906,0.0109
1.3,4.8922,4.9033,1.8386,0.1314,-0.1305,0.0074
1.35,4.9857,4.9963,1.8352,0.1646,-0.1648,0.0033
1.4,5.075,5.0852,1.8317,0.1905,-0.1915,-0.0005
1.45,5.1596,5.1691,1.8287,0.2082,-0.2098,-0.0034
1.5,5.2387,5.2476,1.8266,0.218,-0.2202,-0.005
1.55,5.3121,5.3204,1.8254,0.2208,-0.2236,-0.0055
1.6,5.3797,5.3874,1.8251,0.218,-0.2214,-0.005
1.65,5.4416,5.4487,1.8255,0.211,-0.2148,-0.0039
1.7,5.4981,5.5045,1.8264,0.201,-0.2052,-0.0026
1.75,5.5493,5.5551,1.8277,0.1891,-0.1935,-0.0012
1.8,5.5957,5.601,1.8293,0.1761,-0.1805,0.0001
1.85,5.6376,5.6423,1.831,0.1628,-0.167,0.0011
1.9,5.6753,5.6796,1.8328,0.1495,-0.1535,0.0019
