Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
2.900,5.9657,5.9662,1.8645,0.0171,-0.0173,0.0002
2.950,5.9693,5.9697,1.8657,0.0153,-0.0155,0.0002
3.000,5.9725,5.9729,1.8669,0.0137,-0.0139,0.0001
3.050,5.9754,5.9758,1.8681,0.0122,-0.0124,0.0001
3.100,5.9780,5.9783,1.8693,0.0109,-0.0111,0.0001
3.150,5.9803,5.9806,1.8704,0.0098,-0.0099,0.0001
3.200,5.9824,5.9827,1.8715,0.0088,-0.0089,0.0001
3.250,5.9843,5.9845,1.8726,0.0078,-0.0079,0.0000
3.300,5.9859,5.9861,1.8737,0.0070,-0.0071,0.0000
3.350,5.9874,5.9876,1.8747,0.0063,-0.0064,0.0000
3.400,5.9887,5.9889,1.8757,0.0056,-0.0057,0.0000
3.450,5.9899,5.9901,1.8767,0.0050,-0.0051,0.0000
3.500,5.9910,5.9911,1.8777,0.0045,-0.0046,0.0000
3.550,5.9919,5.9920,1.8786,0.0040,-0.0041,0.0000
3.600,5.9928,5.9929,1.8795,0.0036,-0.0036,0.0000
3.650,5.9935,5.9936,1.8805,0.0032,-0.0033,0.0000
3.700,5.9942,5.9943,1.8813,0.0029,-0.0029,0.0000
3.750,5.9948,5.9949,1.8822,0.0026,-0.0026,0.0000
3.800,5.9954,5.9954,1.8831,0.0023,-0.0023,0.0000
3.850,5.9959,5.9959,1.8839,0.0021,-0.0021,0.0000
3.900,5.9963,5.9963,1.8847,0.0018,-0.0019,0.0000
3.950,5.9967,5.9967,1.8855,0.0017,-0.0017,0.0000
4.000,5.9970,5.9971,1.8863,0.0015,-0.0015,0.0000
4.050,5.9973,5.9974,1.8870,0.0013,-0.0013,0.0000
4.100,5.9976,5.9977,1.8878,0.0012,-0.0012,0.0000
4.150,5.9979,5.9979,1.8885,0.0011,-0.0011,0.0000
4.200,5.9981,5.9981,1.8892,0.0009,-0.0010,0.0000
4.250,5.9983,5.9983,1.8899,0.0008,-0.0009,0.0000
4.300,5.9985,5.9985,1.8906,0.0008,-0.0008,0.0000
4.350,5.9986,5.9987,1.8912,0.0007,-0.0007,0.0000
4.400,5.9988,5.9988,1.8919,0.0006,-0.0006,0.0000
4.450,5.9989,5.9989,1.8925,0.0005,-0.0006,0.0000
4.500,5.9990,5.9990,1.8931,0.0005,-0.0005,0.0000
4.550,5.9991,5.9991,1.8938,0.0004,-0.0004,0.0000
4.600,5.9992,5.9992,1.8943,0.0004,-0.0004,0.0000
4.650,5.9993,5.9993,1.8949,0.0003,-0.0004,0.0000
4.700,5.9994,5.9994,1.8955,0.0003,-0.0003,0.0000
4.750,5.9994,5.9994,1.8960,0.0003,-0.0003,0.0000
4.800,5.9995,5.9995,1.8966,0.0002,-0.0003,0.0000
4.850,5.9996,5.9996,1.8971,0.0002,-0.0002,0.0000
4.900,5.9996,5.9996,1.8976,0.0002,-0.0002,0.0000
4.950,5.9996,5.9996,1.8981,0.0002,-0.0002,0.0000
5.000,5.9997,5.9997,1.8986,0.0002,-0.0002,0.0000
5.050,5.9997,5.9997,1.8991,0.0001,-0.0001,0.0000
5.100,5.9997,5.9997,1.8996,0.0001,-0.0001,0.0000
5.150,5.9998,5.9998,1.9001,0.0001,-0.0001,0.0000
5.200,5.9998,5.9998,1.9005,0.0001,-0.0001,0.0000
5.250,5.9998,5.9998,1.9010,0.0001,-0.0001,0.0000
5.300,5.9998,5.9998,1.9014,0.0001,-0.0001,0.0000
5.350,5.9999,5.9999,1.9018,0.0001,-0.0001,0.0000
5.400,5.9999,5.9999,1.9022,0.0001,-0.0001,0.0000
5.450,5.9999,5.9999,1.9026,0.0001,-0.0001,0.0000
5.500,5.9999,5.9999,1.9030,0.0001,-0.0001,0.0000
5.550,5.9999,5.9999,1.9034,0.0000,-0.0000,0.0000
5.600,5.9999,5.9999,1.9038,0.0000,-0.0000,0.0000
5.650,5.9999,5.9999,1.9042,0.0000,-0.0000,0.0000
5.700,5.9999,5.9999,1.9045,0.0000,-0.0000,0.0000
5.750,5.9999,5.9999,1.9049,0.0000,-0.0000,0.0000
5.800,5.9999,5.9999,1.9053,0.0000,-0.0000,0.0000
5.850,6.0000,6.0000,1.9056,0.0000,-0.0000,0.0000
5.900,6.0000,6.0000,1.9059,0.0000,-0.0000,0.0000
5.950,6.0000,6.0000,1.9062,0.0000,-0.0000,0.0000
6.000,6.0000,6.0000,1.9066,0.0000,-0.0000,0.0000
6.050,6.0000,6.0000,1.9069,0.0000,-0.0000,0.0000
6.100,6.0000,6.0000,1.9072,0.0000,-0.0000,0.0000
6.150,6.0000,6.0000,1.9075,0.0000,-0.0000,0.0000
6.200,6.0000,6.0000,1.9078,0.0000,-0.0000,0.0000
6.250,6.0000,6.0000,1.9081,0.0000,-0.0000,0.0000
6.300,6.0000,6.0000,1.9083,0.0000,-0.0000,0.0000
6.350,6.0000,6.0000,1.9086,0.0000,-0.0000,0.0000
6.400,6.0000,6.0000,1.9089,0.0000,-0.0000,0.0000
6.450,6.0000,6.0000,1.9091,0.0000,-0.0000,0.0000
6.500,6.0000,6.0000,1.9094,0.0000,-0.0000,0.0000
6.550,6.0000,6.0000,1.9096,0.0000,-0.0000,0.0000
6.600,6.0000,6.0000,1.9099,0.0000,-0.0000,0.0000
6.650,6.0000,6.0000,1.9101,0.0000,-0.0000,0.0000
6.700,6.0000,6.0000,1.9103,0.0000,-0.0000,0.0000
6.750,6.0000,6.0000,1.9106,0.0000,-0.0000,0.0000
6.800,6.0000,6.0000,1.9108,0.0000,-0.0000,0.0000
6.850,6.0000,6.0000,1.9110,0.0000,-0.0000,0.0000
6.900,6.0000,6.0000,1.9112,0.0000,-0.0000,0.0000
6.950,6.0000,6.0000,1.9114,0.0000,-0.0000,0.0000
7.000,6.0000,6.0000,1.9116,0.0000,-0.0000,0.0000
7.050,6.0000,6.0000,1.9118,0.0000,-0.0000,0.0000
7.100,6.0000,6.0000,1.9120,0.0000,-0.0000,0.0000
7.150,6.0000,6.0000,1.9122,0.0000,-0.0000,0.0000
7.200,6.0000,6.0000,1.9124,0.0000,-0.0000,0.0000
7.250,6.0000,6.0000,1.9126,0.0000,-0.0000,0.0000
7.300,6.0000,6.0000,1.9128,0.0000,-0.0000,0.0000
7.350,6.0000,6.0000,1.9129,0.0000,-0.0000,0.0000
7.400,6.0000,6.0000,1.9131,0.0000,-0.0000,0.0000
7.450,6.0000,6.0000,1.9133,0.0000,-0.0000,0.0000
7.500,6.0000,6.0000,1.9134,0.0000,-0.0000,0.0000
7.550,6.0000,6.0000,1.9136,0.0000,-0.0000,0.0000
7.600,6.0000,6.0000,1.9138,0.0000,-0.0000,0.0000
7.650,6.0000,6.0000,1.9139,0.0000,-0.0000,0.0000
7.700,6.0000,6.0000,1.9141,0.0000,-0.0000,0.0000
7.750,6.0000,6.0000,1.9142,0.0000,-0.0000,0.0000
7.800,6.0000,6.0000,1.9143,0.0000,-0.0000,0.0000
7.850,6.0000,6.0000,1.9145,0.0000,-0.0000,0.0000
7.900,6.0000,6.0000,1.9146,0.0000,-0.0000,0.0000
7.950,6.0000,6.0000,1.9148,0.0000,-0.0000,0.0000
8.000,6.0000,6.0000,1.9149,0.0000,-0.0000,0.0000
8.050,6.0000,6.0000,1.9150,0.0000,-0.0000,0.0000
8.100,6.0000,6.0000,1.9151,0.0000,-0.0000,0.0000
8.150,6.0000,6.0000,1.9153,0.0000,-0.0000,0.0000
8.200,6.0000,6.0000,1.9154,0.0000,-0.0000,0.0000
8.250,6.0000,6.0000,1.9155,0.0000,-0.0000,0.0000
8.300,6.0000,6.0000,1.9156,0.0000,-0.0000,0.0000
8.350,6.0000,6.0000,1.9157,0.0000,-0.0000,0.0000
8.400,6.0000,6.0000,1.9158,0.0000,-0.0000,0.0000
8.450,6.0000,6.0000,1.9159,0.0000,-0.0000,0.0000
8.500,6.0000,6.0000,1.9160,0.0000,-0.0000,0.0000
8.550,6.0000,6.0000,1.9161,0.0000,-0.0000,0.0000
8.600,6.0000,6.0000,1.9162,0.0000,-0.0000,0.0000
8.650,6.0000,6.0000,1.9163,0.0000,-0.0000,0.0000
8.700,6.0000,6.0000,1.9164,0.0000,-0.0000,0.0000
8.750,6.0000,6.0000,1.9165,0.0000,-0.0000,0.0000
8.800,6.0000,6.0000,1.9166,0.0000,-0.0000,0.0000
8.850,6.0000,6.0000,1.9167,0.0000,-0.0000,0.0000
8.900,6.0000,6.0000,1.9168,0.0000,-0.0000,0.0000
8.950,6.0000,6.0000,1.9169,0.0000,-0.0000,0.0000
9.000,6.0000,6.0000,1.9170,0.0000,-0.0000,0.0000
9.050,6.0000,6.0000,1.9170,0.0000,-0.0000,0.0000
9.100,6.0000,6.0000,1.9171,0.0000,-0.0000,0.0000
9.150,6.0000,6.0000,1.9172,0.0000,-0.0000,0.0000
9.200,6.0000,6.0000,1.9173,0.0000,-0.0000,0.0000
9.250,6.0000,6.0000,1.9173,0.0000,-0.0000,0.0000
9.300,6.0000,6.0000,1.9174,0.0000,-0.0000,0.0000
9.350,6.0000,6.0000,1.9175,0.0000,-0.0000,0.0000
9.400,6.0000,6.0000,1.9176,0.0000,-0.0000,0.0000
9.450,6.0000,6.0000,1.9176,0.0000,-0.0000,0.0000
9.500,6.0000,6.0000,1.9177,0.0000,-0.0000,0.0000
9.550,6.0000,6.0000,1.9178,0.0000,-0.0000,0.0000
9.600,6.0000,6.0000,1.9178,0.0000,-0.0000,0.0000
9.650,6.0000,6.0000,1.9179,0.0000,-0.0000,0.0000
9.700,6.0000,6.0000,1.9179,0.0000,-0.0000,0.0000
9.750,6.0000,6.0000,1.9180,0.0000,-0.0000,0.0000
9.800,6.0000,6.0000,1.9181,0.0000,-0.0000,0.0000
9.850,6.0000,6.0000,1.9181,0.0000,-0.0000,0.0000
9.900,6.0000,6.0000,1.9182,0.0000,-0.0000,0.0000
9.950,6.0000,6.0000,1.9182,0.0000,-0.0000,0.0000
10.000,6.0000,6.0000,1.9183,0.0000,-0.0000,0.0000
10.050,6.0000,6.0000,1.9183,0.0000,-0.0000,0.0000
10.100,6.0000,6.0000,1.9184,0.0000,-0.0000,0.0000
10.150,6.0000,6.0000,1.9184,0.0000,-0.0000,0.0000
10.200,6.0000,6.0000,1.9185,0.0000,-0.0000,0.0000
10.250,6.0000,6.0000,1.9185,0.0000,-0.0000,0.0000
10.300,6.0000,6.0000,1.9186,0.0000,-0.0000,0.0000
10.350,6.0000,6.0000,1.9186,0.0000,-0.0000,0.0000
10.400,6.0000,6.0000,1.9187,0.0000,-0.0000,0.0000
10.450,6.0000,6.0000,1.9187,0.0000,-0.0000,0.0000
10.500,6.0000,6.0000,1.9188,0.0000,-0.0000,-0.0000
10.550,6.0000,6.0000,1.9188,0.0000,-0.0000,-0.0000
10.600,6.0000,6.0000,1.9188,0.0000,-0.0000,-0.0000
10.650,6.0000,6.0000,1.9189,0.0000,-0.0000,-0.0000
10.700,6.0000,6.0000,1.9189,0.0000,-0.0000,-0.0000
10.750,6.0000,6.0000,1.9190,0.0000,-0.0000,-0.0000
10.800,6.0000,6.0000,1.9190,0.0000,-0.0000,-0.0000
10.850,6.0000,6.0000,1.9190,0.0000,-0.0000,-0.0000
10.900,6.0000,6.0000,1.9191,0.0000,-0.0000,-0.0000
10.950,6.0000,6.0000,1.9191,0.0000,-0.0000,-0.0000
11.000,6.0000,6.0000,1.9191,0.0000,-0.0000,-0.0000
11.050,6.0000,6.0000,1.9192,0.0000,-0.0000,-0.0000
11.100,6.0000,6.0000,1.9192,0.0000,-0.0000,-0.0000
11.150,6.0000,6.0000,1.9192,0.0000,-0.0000,-0.0000
11.200,6.0000,6.0000,1.9193,0.0000,-0.0000,-0.0000
11.250,6.0000,6.0000,1.9193,0.0000,-0.0000,-0.0000
11.300,6.0000,6.0000,1.9193,0.0000,-0.0000,0.0000
11.350,6.0000,6.0000,1.9194,0.0000,-0.0000,0.0000
11.400,6.0000,6.0000,1.9194,0.0000,-0.0000,0.0000
11.450,6.0000,6.0000,1.9194,0.0000,-0.0000,0.0000
11.500,6.0000,6.0000,1.9194,0.0000,-0.0000,0.0000
11.550,6.0000,6.0000,1.9195,0.0000,-0.0000,0.0000
11.600,6.0000,6.0000,1.9195,0.0000,-0.0000,-0.0000
11.650,6.0000,6.0000,1.9195,0.0000,-0.0000,-0.0000
11.700,6.0000,6.0000,1.9195,0.0000,-0.0000,-0.0000
11.750,6.0000,6.0000,1.9196,0.0000,-0.0000,-0.0000
11.800,6.0000,6.0000,1.9196,0.0000,-0.0000,-0.0000
11.850,6.0000,6.0000,1.9196,0.0000,-0.0000,-0.0000
11.900,6.0000,6.0000,1.9196,0.0000,-0.0000,-0.0000
11.950,6.0000,6.0000,1.9197,0.0000,-0.0000,-0.0000
12.000,6.0000,6.0000,1.9197,0.0000,-0.0000,-0.0000
12.050,6.0000,6.0000,1.9197,0.0000,-0.0000,0.0000
12.100,6.0000,6.0000,1.9197,0.0000,-0.0000,0.0000
12.150,6.0000,6.0000,1.9197,0.0000,-0.0000,0.0000
12.200,6.0000,6.0000,1.9198,0.0000,-0.0000,0.0000
12.250,6.0000,6.0000,1.9198,0.0000,-0.0000,0.0000
12.300,6.0000,6.0000,1.9198,0.0000,-0.0000,0.0000
12.350,6.0000,6.0000,1.9198,0.0000,-0.0000,0.0000
12.400,6.0000,6.0000,1.9198,0.0000,-0.0000,-0.0000
12.450,6.0000,6.0000,1.9199,0.0000,-0.0000,-0.0000
12.500,6.0000,6.0000,1.9199,0.0000,-0.0000,-0.0000
12.550,6.0000,6.0000,1.9199,0.0000,-0.0000,-0.0000
12.600,6.0000,6.0000,1.9199,0.0000,-0.0000,-0.0000
12.650,6.0000,6.0000,1.9199,0.0000,-0.0000,-0.0000
12.700,6.0000,6.0000,1.9199,0.0000,-0.0000,-0.0000
12.750,6.0000,6.0000,1.9200,0.0000,-0.0000,-0.0000
12.800,6.0000,6.0000,1.9200,0.0000,-0.0000,-0.0000
12.850,6.0000,6.0000,1.9200,0.0000,-0.0000,-0.0000
12.900,6.0000,6.0000,1.9200,0.0000,-0.0000,-0.0000
12.950,6.0000,6.0000,1.9200,0.0000,-0.0000,-0.0000
13.000,6.0000,6.0000,1.9200,0.0000,-0.0000,-0.0000
13.050,6.0000,6.0000,1.9200,0.0000,-0.0000,-0.0000
13.100,6.0000,6.0000,1.9201,0.0000,-0.0000,-0.0000
13.150,6.0000,6.0000,1.9201,0.0000,-0.0000,-0.0000
13.200,6.0000,6.0000,1.9201,0.0000,-0.0000,0.0000
13.250,6.0000,6.0000,1.9201,0.0000,-0.0000,0.0000
13.300,6.0000,6.0000,1.9201,0.0000,-0.0000,0.0000
13.350,6.0000,6.0000,1.9201,0.0000,-0.0000,0.0000
13.400,6.0000,6.0000,1.9201,0.0000,-0.0000,0.0000
13.450,6.0000,6.0000,1.9201,0.0000,-0.0000,0.0000
13.500,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
13.550,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
13.600,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
13.650,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
13.700,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
13.750,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
13.800,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
13.850,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
13.900,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
13.950,6.0000,6.0000,1.9202,0.0000,-0.0000,0.0000
14.000,6.0000,6.0000,1.9203,0.0000,-0.0000,0.0000
14.050,6.0000,6.0000,1.9203,0.0000,-0.0000,0.0000
14.100,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.150,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.200,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.250,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.300,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.350,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.400,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.450,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.500,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.550,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.600,6.0000,6.0000,1.9203,0.0000,-0.0000,-0.0000
14.650,6.0000,6.0000,1.9204,0.0000,-0.0000,-0.0000
14.700,6.0000,6.0000,1.9204,0.0000,-0.0000,-0.0000
14.750,6.0000,6.0000,1.9204,0.0000,-0.0000,-0.0000
14.800,6.0000,6.0000,1.9204,0.0000,-0.0000,-0.0000
14.850,6.0000,6.0000,1.9204,0.0000,-0.0000,-0.0000
14.900,6.0000,6.0000,1.9204,0.0000,-0.0000,-0.0000
14.950,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.000,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.050,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.100,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.150,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.200,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.250,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.300,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.350,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.400,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.450,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.500,6.0000,6.0000,1.9204,0.0000,-0.0000,0.0000
15.550,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
15.600,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
15.650,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
15.700,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
15.750,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
15.800,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
15.850,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
15.900,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
15.950,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
16.000,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
16.050,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
16.100,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
16.150,6.0000,6.0000,1.9205,-0.0000,0.0000,0.0000
16.200,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.250,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.300,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.350,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.400,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.450,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.500,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.550,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.600,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.650,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.700,6.0000,6.0000,1.9205,-0.0000,0.0000,-0.0000
16.750,6.0000,6.0000,1.9205,-0.0000,-0.0000,-0.0000
16.800,6.0000,6.0000,1.9205,0.0000,-0.0000,-0.0000
16.850,6.0000,6.0000,1.9205,0.0000,0.0000,-0.0000
16.900,6.0000,6.0000,1.9205,0.0000,0.0000,0.0000
16.950,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
17.000,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
17.050,6.0000,6.0000,1.9205,0.0000,-0.0000,0.0000
17.100,6.0000,6.0000,1.9206,0.0000,-0.0000,0.0000
17.150,6.0000,6.0000,1.9206,0.0000,-0.0000,0.0000
17.200,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
17.250,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
17.300,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
17.350,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
17.400,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
17.450,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
17.500,6.0000,6.0000,1.9206,-0.0000,-0.0000,-0.0000
17.550,6.0000,6.0000,1.9206,-0.0000,-0.0000,-0.0000
17.600,6.0000,6.0000,1.9206,-0.0000,-0.0000,-0.0000
17.650,6.0000,6.0000,1.9206,0.0000,-0.0000,-0.0000
17.700,6.0000,6.0000,1.9206,0.0000,-0.0000,-0.0000
17.750,6.0000,6.0000,1.9206,-0.0000,-0.0000,-0.0000
17.800,6.0000,6.0000,1.9206,-0.0000,0.0000,-0.0000
17.850,6.0000,6.0000,1.9206,0.0000,0.0000,0.0000
17.900,6.0000,6.0000,1.9206,0.0000,0.0000,0.0000
17.950,6.0000,6.0000,1.9206,0.0000,-0.0000,0.0000
18.000,6.0000,6.0000,1.9206,-0.0000,-0.0000,0.0000
18.050,6.0000,6.0000,1.9206,-0.0000,0.0000,-0.0000
18.100,6.0000,6.0000,1.9206,-0.0000,0.0000,-0.0000
18.150,6.0000,6.0000,1.9206,-0.0000,0.0000,-0.0000
18.200,6.0000,6.0000,1.9206,-0.0000,0.0000,-0.0000
18.250,6.0000,6.0000,1.9206,0.0000,-0.0000,-0.0000
18.300,6.0000,6.0000,1.9206,0.0000,-0.0000,-0.0000
18.350,6.0000,6.0000,1.9206,-0.0000,-0.0000,-0.0000
18.400,6.0000,6.0000,1.9206,0.0000,-0.0000,-0.0000
18.450,6.0000,6.0000,1.9206,-0.0000,-0.0000,-0.0000
18.500,6.0000,6.0000,1.9206,-0.0000,0.0000,-0.0000
18.550,6.0000,6.0000,1.9206,0.0000,-0.0000,-0.0000
18.600,6.0000,6.0000,1.9206,0.0000,-0.0000,-0.0000
18.650,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
18.700,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
18.750,6.0000,6.0000,1.9206,0.0000,-0.0000,0.0000
18.800,6.0000,6.0000,1.9206,0.0000,-0.0000,0.0000
18.850,6.0000,6.0000,1.9206,0.0000,-0.0000,0.0000
18.900,6.0000,6.0000,1.9206,0.0000,0.0000,0.0000
18.950,6.0000,6.0000,1.9206,0.0000,0.0000,0.0000
19.000,6.0000,6.0000,1.9206,0.0000,0.0000,0.0000
19.050,6.0000,6.0000,1.9206,0.0000,0.0000,0.0000
19.100,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
19.150,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
19.200,6.0000,6.0000,1.9206,-0.0000,-0.0000,0.0000
19.250,6.0000,6.0000,1.9206,-0.0000,-0.0000,0.0000
19.300,6.0000,6.0000,1.9206,-0.0000,-0.0000,0.0000
19.350,6.0000,6.0000,1.9206,0.0000,-0.0000,0.0000
19.400,6.0000,6.0000,1.9206,0.0000,-0.0000,0.0000
19.450,6.0000,6.0000,1.9206,0.0000,0.0000,0.0000
19.500,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
19.550,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
19.600,6.0000,6.0000,1.9206,-0.0000,0.0000,0.0000
